Name
D24
DICAMBA
BENZ_A_ANTHR
PCB105
CARBARYL
A_CHLORDANE
CHLORPYRIFOS
DDE
DIAZINON
METHOXYCHLOR
CISPERMETHRIN
O_PHENYLPHENOL
PROPOXUR
PENTACHLOROPHENOL
